timestamp_consulta,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,sospechosa,max_bicis_available,max_bicis_sistema
2019-07-19 00:31:02.847471-03:00,1296,1066,5164,91,1.0,1551.0,2516.0
2019-07-19 01:01:04.187908-03:00,1288,1072,5166,86,1.0,1551.0,2516.0
2019-07-19 01:31:09.091072-03:00,1356,1051,5120,88,1.0,1551.0,2516.0
2019-07-19 02:01:12.404074-03:00,1391,1039,5098,90,1.0,1551.0,2516.0
2019-07-19 02:31:14.098947-03:00,1435,1023,5070,88,2.0,1551.0,2516.0
2019-07-19 03:01:17.527850-03:00,1478,1014,5036,89,2.0,1551.0,2516.0
2019-07-19 03:31:19.348063-03:00,1505,1004,5019,89,3.0,1551.0,2516.0
2019-07-19 04:01:24.460872-03:00,1526,988,5015,87,5.0,1551.0,2516.0
2019-07-19 04:31:29.464592-03:00,1538,965,5026,89,7.0,1551.0,2516.0
2019-07-19 05:01:31.376897-03:00,1551,965,5013,89,7.0,1551.0,2516.0
2019-07-19 05:31:33.252873-03:00,1520,971,5037,88,8.0,1551.0,2516.0
2019-07-19 06:01:34.932523-03:00,1504,976,5048,88,6.0,1551.0,2516.0
2019-07-19 06:31:36.544450-03:00,1451,967,5110,85,7.0,1551.0,2516.0
2019-07-19 07:01:37.859826-03:00,1470,950,5110,87,8.0,1551.0,2516.0
2019-07-19 07:31:39.303698-03:00,1321,938,5279,76,6.0,1551.0,2516.0
2019-07-19 08:01:42.466338-03:00,1204,925,5410,69,7.0,1551.0,2516.0
2019-07-19 08:31:43.709936-03:00,1064,911,5564,65,8.0,1551.0,2516.0
2019-07-19 09:01:45.863070-03:00,1079,910,5550,65,8.0,1551.0,2516.0
2019-07-19 09:31:49.181286-03:00,1065,912,5559,67,7.0,1551.0,2516.0
2019-07-19 10:01:50.582091-03:00,1118,924,5494,67,9.0,1551.0,2516.0
2019-07-19 10:31:52.056305-03:00,1070,919,5546,64,8.0,1551.0,2516.0
2019-07-19 11:01:53.354935-03:00,1009,924,5602,61,6.0,1551.0,2516.0
2019-07-19 11:31:54.607435-03:00,924,926,5685,60,6.0,1551.0,2516.0
2019-07-19 12:01:57.525620-03:00,845,944,5747,59,6.0,1551.0,2516.0
2019-07-19 12:31:59.058254-03:00,783,951,5801,64,6.0,1551.0,2516.0
2019-07-19 13:02:03.864822-03:00,694,979,5862,61,5.0,1551.0,2516.0
2019-07-19 13:32:05.236283-03:00,661,1013,5861,62,5.0,1551.0,2516.0
2019-07-19 14:02:06.612200-03:00,611,1028,5896,62,5.0,1551.0,2516.0
2019-07-19 14:32:10.013291-03:00,505,1039,5992,68,6.0,1551.0,2516.0
2019-07-19 15:02:11.728197-03:00,508,1047,5982,69,7.0,1551.0,2516.0
2019-07-19 15:32:13.044831-03:00,434,1049,6054,58,6.0,1551.0,2516.0
2019-07-19 16:02:14.710211-03:00,413,1057,6067,64,6.0,1551.0,2516.0
2019-07-19 16:32:15.985810-03:00,385,1050,6101,57,5.0,1551.0,2516.0
2019-07-19 17:02:17.718533-03:00,388,1045,6103,60,4.0,1551.0,2516.0
2019-07-19 17:32:19.079906-03:00,339,1047,6150,61,6.0,1551.0,2516.0
2019-07-19 18:02:20.449265-03:00,432,1050,6053,65,5.0,1551.0,2516.0
2019-07-19 18:32:22.082582-03:00,367,1055,6113,64,7.0,1551.0,2516.0
2019-07-19 19:02:29.180394-03:00,450,1066,6019,72,5.0,1551.0,2516.0
2019-07-19 19:32:34.605847-03:00,602,1063,5868,71,4.0,1551.0,2516.0
2019-07-19 20:02:40.007396-03:00,712,1070,5751,78,3.0,1551.0,2516.0
2019-07-19 20:32:45.079127-03:00,712,1086,5735,81,6.0,1551.0,2516.0
2019-07-19 21:02:46.480581-03:00,787,1103,5643,80,5.0,1551.0,2516.0
2019-07-19 21:32:48.046768-03:00,856,1122,5553,82,5.0,1551.0,2516.0
2019-07-19 22:02:54.551666-03:00,896,1135,5499,88,5.0,1551.0,2516.0
2019-07-19 22:32:55.933880-03:00,945,1140,5445,86,6.0,1551.0,2516.0
2019-07-19 23:03:01.788147-03:00,1001,1115,5415,85,7.0,1551.0,2516.0
2019-07-19 23:33:03.294536-03:00,1016,1077,5438,82,7.0,1551.0,2516.0
